item_id,timestamp,target
H, 2017/05/06 01:00:00 ,17396.652
H, 2017/05/06 02:00:00 ,17665.81
H, 2017/05/06 03:00:00 ,17856.172
H, 2017/05/06 04:00:00 ,17456.321
H, 2017/05/06 05:00:00 ,16708.117
H, 2017/05/06 06:00:00 ,16450.724
H, 2017/05/06 07:00:00 ,13462.684
H, 2017/05/06 08:00:00 ,11815.108
H, 2017/05/06 09:00:00 ,10586.824
H, 2017/05/06 10:00:00 ,10481.952
H, 2017/05/06 11:00:00 ,9829.709
H, 2017/05/06 12:00:00 ,10118.004
H, 2017/05/06 13:00:00 ,10696.213
H, 2017/05/06 14:00:00 ,11373.531
H, 2017/05/06 15:00:00 ,11787.067
H, 2017/05/06 16:00:00 ,12257.337
H, 2017/05/06 17:00:00 ,12573.25
H, 2017/05/06 18:00:00 ,13338.53
H, 2017/05/06 19:00:00 ,13380.255
H, 2017/05/06 20:00:00 ,13175.386
H, 2017/05/06 21:00:00 ,12261.812
H, 2017/05/06 22:00:00 ,13164.414
H, 2017/05/06 23:00:00 ,13522.378
H, 2017/05/07 00:00:00 ,13326.042
H, 2017/05/07 01:00:00 ,13589.311
H, 2017/05/07 02:00:00 ,13577.869
H, 2017/05/07 03:00:00 ,13460.31
H, 2017/05/07 04:00:00 ,13176.079
H, 2017/05/07 05:00:00 ,12107.371
H, 2017/05/07 06:00:00 ,11671.535
H, 2017/05/07 07:00:00 ,11527.825
H, 2017/05/07 08:00:00 ,11325.017
H, 2017/05/07 09:00:00 ,10068.952
H, 2017/05/07 10:00:00 ,10776.653
H, 2017/05/07 11:00:00 ,10850.585
H, 2017/05/07 12:00:00 ,11000.397
H, 2017/05/07 13:00:00 ,11095.789
H, 2017/05/07 14:00:00 ,11040.101
H, 2017/05/07 15:00:00 ,10751.74
H, 2017/05/07 16:00:00 ,11140.895
H, 2017/05/07 17:00:00 ,12106.156
H, 2017/05/07 18:00:00 ,12472.279
H, 2017/05/07 19:00:00 ,12183.086
H, 2017/05/07 20:00:00 ,12065.726
H, 2017/05/07 21:00:00 ,11965.476
H, 2017/05/07 22:00:00 ,11782.297
H, 2017/05/07 23:00:00 ,11749.411
H, 2017/05/08 00:00:00 ,11277.999
H, 2017/05/08 01:00:00 ,11470.476
H, 2017/05/08 02:00:00 ,11499.661
H, 2017/05/08 03:00:00 ,10811.255
H, 2017/05/08 04:00:00 ,11322.526
H, 2017/05/08 05:00:00 ,11133.042
H, 2017/05/08 06:00:00 ,11149.656
H, 2017/05/08 07:00:00 ,10825.251
H, 2017/05/08 08:00:00 ,10297.838
H, 2017/05/08 09:00:00 ,9971.871
H, 2017/05/08 10:00:00 ,10006.478
H, 2017/05/08 11:00:00 ,10193.172
H, 2017/05/08 12:00:00 ,11449.637
H, 2017/05/08 13:00:00 ,11531.352
H, 2017/05/08 14:00:00 ,10973.81
H, 2017/05/08 15:00:00 ,11607.869
H, 2017/05/08 16:00:00 ,11436.657
H, 2017/05/08 17:00:00 ,12062.84
H, 2017/05/08 18:00:00 ,12285.872
H, 2017/05/08 19:00:00 ,11961.455
H, 2017/05/08 20:00:00 ,11605.021
H, 2017/05/08 21:00:00 ,11694.466
H, 2017/05/08 22:00:00 ,11527.06
H, 2017/05/08 23:00:00 ,11697.177
H, 2017/05/09 00:00:00 ,11520.033
H, 2017/05/09 01:00:00 ,11731.284
H, 2017/05/09 02:00:00 ,11757.532
H, 2017/05/09 03:00:00 ,11689.869
H, 2017/05/09 04:00:00 ,11644.199
H, 2017/05/09 05:00:00 ,11287.568
H, 2017/05/09 06:00:00 ,11144.179
H, 2017/05/09 07:00:00 ,9575.324
H, 2017/05/09 08:00:00 ,9387.618
H, 2017/05/09 09:00:00 ,8629.128
H, 2017/05/09 10:00:00 ,8339.427
H, 2017/05/09 11:00:00 ,7789.336
H, 2017/05/09 12:00:00 ,8186.655
H, 2017/05/09 13:00:00 ,8624.29
H, 2017/05/09 14:00:00 ,9899.113
H, 2017/05/09 15:00:00 ,10495.046
H, 2017/05/09 16:00:00 ,11238.04
H, 2017/05/09 17:00:00 ,11844.405
H, 2017/05/09 18:00:00 ,12545.695
H, 2017/05/09 19:00:00 ,12724.405
H, 2017/05/09 20:00:00 ,12309.447
H, 2017/05/09 21:00:00 ,12597.934
H, 2017/05/09 22:00:00 ,12583.993
H, 2017/05/09 23:00:00 ,12457.641
H, 2017/05/10 00:00:00 ,12360.136
H, 2017/05/10 01:00:00 ,12576.477
H, 2017/05/10 02:00:00 ,12550.031
H, 2017/05/10 03:00:00 ,12501.851
H, 2017/05/10 04:00:00 ,12199.897
H, 2017/05/10 05:00:00 ,12197.892
H, 2017/05/10 06:00:00 ,12055.971
H, 2017/05/10 07:00:00 ,11766.908
H, 2017/05/10 08:00:00 ,11186.672
H, 2017/05/10 09:00:00 ,10223.727
H, 2017/05/10 10:00:00 ,9263.406
H, 2017/05/10 11:00:00 ,9660.279
H, 2017/05/10 12:00:00 ,10307.077
H, 2017/05/10 13:00:00 ,11467.512
H, 2017/05/10 14:00:00 ,12497.717
H, 2017/05/10 15:00:00 ,12264.888
H, 2017/05/10 16:00:00 ,12770.458
H, 2017/05/10 17:00:00 ,13506.588
H, 2017/05/10 18:00:00 ,13798.099
H, 2017/05/10 19:00:00 ,14063.272
H, 2017/05/10 20:00:00 ,13979.594
H, 2017/05/10 21:00:00 ,13739.162
H, 2017/05/10 22:00:00 ,14136.193
H, 2017/05/10 23:00:00 ,13938.901
H, 2017/05/11 00:00:00 ,13564.519
H, 2017/05/11 01:00:00 ,12602.527
H, 2017/05/11 02:00:00 ,12636.88
H, 2017/05/11 03:00:00 ,12771.001
H, 2017/05/11 04:00:00 ,13396.729
H, 2017/05/11 05:00:00 ,14028.449
H, 2017/05/11 06:00:00 ,14061.694
H, 2017/05/11 07:00:00 ,13134.141
H, 2017/05/11 08:00:00 ,12473.337
H, 2017/05/11 09:00:00 ,10974.385
H, 2017/05/11 10:00:00 ,10937.214
H, 2017/05/11 11:00:00 ,11310.479
H, 2017/05/11 12:00:00 ,11410.596
H, 2017/05/11 13:00:00 ,10330.623
H, 2017/05/11 14:00:00 ,11394.98
H, 2017/05/11 15:00:00 ,11675.296
H, 2017/05/11 16:00:00 ,12625.396
H, 2017/05/11 17:00:00 ,13743.186
H, 2017/05/11 18:00:00 ,14181.541
H, 2017/05/11 19:00:00 ,14050.031
H, 2017/05/11 20:00:00 ,14214.417
H, 2017/05/11 21:00:00 ,14079.687
H, 2017/05/11 22:00:00 ,14058.132
H, 2017/05/11 23:00:00 ,14258.797
H, 2017/05/12 00:00:00 ,14089.278
H, 2017/05/12 01:00:00 ,14171.218
H, 2017/05/12 02:00:00 ,13960.862
H, 2017/05/12 03:00:00 ,14422.944
H, 2017/05/12 04:00:00 ,13904.778
H, 2017/05/12 05:00:00 ,13984.404
H, 2017/05/12 06:00:00 ,14047.409
H, 2017/05/12 07:00:00 ,14031.449
H, 2017/05/12 08:00:00 ,13387.915
H, 2017/05/12 09:00:00 ,13186.229
H, 2017/05/12 10:00:00 ,12350.698
H, 2017/05/12 11:00:00 ,12077.293
H, 2017/05/12 12:00:00 ,10907.427
H, 2017/05/12 13:00:00 ,11438.977
H, 2017/05/12 14:00:00 ,11999.179
H, 2017/05/12 15:00:00 ,11168.515
H, 2017/05/12 16:00:00 ,10498.157
